---------------------------- PROCESS STARTED (17165) for package com.runninghub.app ----------------------------
2026-02-05 17:28:22.305 17165-17165 nativeloader            com.runninghub.app                   D  Load libframework-connectivity-tiramisu-jni.so using APEX ns com_android_tethering for caller /apex/com.android.tethering/javalib/framework-connectivity-t.jar: ok
2026-02-05 17:28:22.381 17165-17165 re-initialized>         com.runninghub.app                   W  type=1400 audit(0.0:1927): avc:  granted  { execute } for  path="/data/data/com.runninghub.app/code_cache/startup_agents/5b4f70e9-agent.so" dev="dm-55" ino=369965 scontext=u:r:untrusted_app:s0:c220,c256,c512,c768 tcontext=u:object_r:app_data_file:s0:c220,c256,c512,c768 tclass=file app=com.runninghub.app
2026-02-05 17:28:22.399 17165-17165 nativeloader            com.runninghub.app                   D  Load /data/user/0/com.runninghub.app/code_cache/startup_agents/5b4f70e9-agent.so using system ns (caller=<unknown>): ok
2026-02-05 17:28:22.407 17165-17165 .runninghub.app         com.runninghub.app                   W  hiddenapi: DexFile /data/data/com.runninghub.app/code_cache/.studio/instruments-25d868d4.jar is in boot class path but is not in a known location
2026-02-05 17:28:22.426 17165-17165 .runninghub.app         com.runninghub.app                   W  Redefining intrinsic method java.lang.Thread java.lang.Thread.currentThread(). This may cause the unexpected use of the original definition of java.lang.Thread java.lang.Thread.currentThread()in methods that have already been compiled.
2026-02-05 17:28:22.426 17165-17165 .runninghub.app         com.runninghub.app                   W  Redefining intrinsic method boolean java.lang.Thread.interrupted(). This may cause the unexpected use of the original definition of boolean java.lang.Thread.interrupted()in methods that have already been compiled.
2026-02-05 17:28:22.837 17165-17165 nativeloader            com.runninghub.app                   D  Configuring clns-9 for other apk /data/app/~~628EzvXykWZQ-52DKfpPbg==/com.runninghub.app-cMRaUiXW8S8iLqA2rRVuNg==/base.apk. target_sdk_version=35, uses_libraries=, library_path=/data/app/~~628EzvXykWZQ-52DKfpPbg==/com.runninghub.app-cMRaUiXW8S8iLqA2rRVuNg==/lib/x86_64:/data/app/~~628EzvXykWZQ-52DKfpPbg==/com.runninghub.app-cMRaUiXW8S8iLqA2rRVuNg==/base.apk!/lib/x86_64, permitted_path=/data:/mnt/expand:/data/user/0/com.runninghub.app
2026-02-05 17:28:22.840 17165-17165 CompatChangeReporter    com.runninghub.app                   D  Compat change id reported: 202956589; UID 10220; state: ENABLED
2026-02-05 17:28:22.845 17165-17165 .runninghub.app         com.runninghub.app                   I  AssetManager2(0x79c23038d998) locale list changing from [] to [en-US]
2026-02-05 17:28:22.847 17165-17165 .runninghub.app         com.runninghub.app                   I  AssetManager2(0x79c230393438) locale list changing from [] to [en-US]
2026-02-05 17:28:22.852 17165-17165 GraphicsEnvironment     com.runninghub.app                   V  Currently set values for:
2026-02-05 17:28:22.852 17165-17165 GraphicsEnvironment     com.runninghub.app                   V    angle_gl_driver_selection_pkgs=[]
2026-02-05 17:28:22.852 17165-17165 GraphicsEnvironment     com.runninghub.app                   V    angle_gl_driver_selection_values=[]
2026-02-05 17:28:22.852 17165-17165 GraphicsEnvironment     com.runninghub.app                   V  com.runninghub.app is not listed in per-application setting
2026-02-05 17:28:22.852 17165-17165 GraphicsEnvironment     com.runninghub.app                   V  ANGLE allowlist from config: com.dreamgames.royalmatch com.dts.freefiremax com.dxx.firenow com.gramgames.mergedragons com.ludo.king com.mojang.minecraftpe com.my.defense com.nintendo.zaka com.os.airforce com.playrix.fishdomdd.gplay io.teslatech.callbreak jp.konami.prospia net.peakgames.toonblast
2026-02-05 17:28:22.852 17165-17165 GraphicsEnvironment     com.runninghub.app                   V  com.runninghub.app is not listed in ANGLE allowlist or settings, returning default
2026-02-05 17:28:22.852 17165-17165 GraphicsEnvironment     com.runninghub.app                   V  Neither updatable production driver nor prerelease driver is supported.
2026-02-05 17:28:22.865 17165-17165 CompatChangeReporter    com.runninghub.app                   D  Compat change id reported: 279646685; UID 10220; state: ENABLED
2026-02-05 17:28:22.875 17165-17187 DisplayManager          com.runninghub.app                   I  Choreographer implicitly registered for the refresh rate.
2026-02-05 17:28:22.878 17165-17165 .runninghub.app         com.runninghub.app                   I  AssetManager2(0x79c230394d38) locale list changing from [] to [en-US]
2026-02-05 17:28:22.887 17165-17165 ashmem                  com.runninghub.app                   E  Pinning is deprecated since Android Q. Please use trim or other methods.
2026-02-05 17:28:22.908 17165-17165 CompatChangeReporter    com.runninghub.app                   D  Compat change id reported: 309578419; UID 10220; state: ENABLED
2026-02-05 17:28:22.909 17165-17165 DesktopModeFlags        com.runninghub.app                   D  Toggle override initialized to: OVERRIDE_UNSET
2026-02-05 17:28:22.914 17165-17187 EGL_emulation           com.runninghub.app                   I  Opening libGLESv1_CM_emulation.so
2026-02-05 17:28:22.917 17165-17187 EGL_emulation           com.runninghub.app                   I  Opening libGLESv2_emulation.so
2026-02-05 17:28:22.931 17165-17187 HWUI                    com.runninghub.app                   W  Failed to choose config with EGL_SWAP_BEHAVIOR_PRESERVED, retrying without...
2026-02-05 17:28:22.931 17165-17187 HWUI                    com.runninghub.app                   W  Failed to initialize 101010-2 format, error = EGL_SUCCESS
2026-02-05 17:28:22.945 17165-17165 CompatChangeReporter    com.runninghub.app                   D  Compat change id reported: 352594277; UID 10220; state: ENABLED
2026-02-05 17:28:22.952 17165-17165 CompatChangeReporter    com.runninghub.app                   D  Compat change id reported: 349153669; UID 10220; state: ENABLED
2026-02-05 17:28:22.961 17165-17165 HWUI                    com.runninghub.app                   W  Unknown dataspace 0
2026-02-05 17:28:23.095 17165-17165 .runninghub.app         com.runninghub.app                   I  hiddenapi: Accessing hidden method Ljava/lang/invoke/MethodHandles$Lookup;-><init>(Ljava/lang/Class;I)V (runtime_flags=0, domain=core-platform, api=unsupported) from Lretrofit2/Platform; (domain=app) using reflection: allowed
2026-02-05 17:28:23.116 17165-17192 okhttp.OkHttpClient     com.runninghub.app                   I  --> POST https://www.runninghub.cn/api/webapp/carefullyChosenList
2026-02-05 17:28:23.116 17165-17192 okhttp.OkHttpClient     com.runninghub.app                   I  Content-Type: application/json; charset=UTF-8
2026-02-05 17:28:23.117 17165-17192 okhttp.OkHttpClient     com.runninghub.app                   I  Content-Length: 2
2026-02-05 17:28:23.117 17165-17192 okhttp.OkHttpClient     com.runninghub.app                   I  User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-05 17:28:23.118 17165-17192 okhttp.OkHttpClient     com.runninghub.app                   I  Accept: application/json, text/plain, */*
2026-02-05 17:28:23.118 17165-17192 okhttp.OkHttpClient     com.runninghub.app                   I  Authorization: Bearer eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIxODQ4MDMwNjYwNjM1MDc0NTYxIiwiZXhwIjoxNzcyODc0MjcyLCJjcmVhdGVkIjoxNzcwMjgyMjcyNzQ4LCJ1c2VybmFtZSI6ImFiNjc4YjA5NjRkMzhjZTNjMGJhMTFmYmFlYjA0YWE5IiwidXNlclJlZ2lvbiI6InpoX0NOIn0.MP2Qy8tVEYi02TL0_erJOsR7Mz9NroCKhfuBztweuA-W4zeA8XwvUvjqdosXUChHipyIQIvR6tJoEtmMKO-apw
2026-02-05 17:28:23.118 17165-17192 okhttp.OkHttpClient     com.runninghub.app                   I  --> END POST
2026-02-05 17:28:23.119 17165-17193 okhttp.OkHttpClient     com.runninghub.app                   I  --> POST https://www.runninghub.cn/api/portal/tag/tree
2026-02-05 17:28:23.119 17165-17193 okhttp.OkHttpClient     com.runninghub.app                   I  Content-Type: application/json; charset=UTF-8
2026-02-05 17:28:23.119 17165-17193 okhttp.OkHttpClient     com.runninghub.app                   I  Content-Length: 17
2026-02-05 17:28:23.119 17165-17193 okhttp.OkHttpClient     com.runninghub.app                   I  User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-05 17:28:23.119 17165-17193 okhttp.OkHttpClient     com.runninghub.app                   I  Accept: application/json, text/plain, */*
2026-02-05 17:28:23.119 17165-17193 okhttp.OkHttpClient     com.runninghub.app                   I  Authorization: Bearer eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIxODQ4MDMwNjYwNjM1MDc0NTYxIiwiZXhwIjoxNzcyODc0MjcyLCJjcmVhdGVkIjoxNzcwMjgyMjcyNzQ4LCJ1c2VybmFtZSI6ImFiNjc4YjA5NjRkMzhjZTNjMGJhMTFmYmFlYjA0YWE5IiwidXNlclJlZ2lvbiI6InpoX0NOIn0.MP2Qy8tVEYi02TL0_erJOsR7Mz9NroCKhfuBztweuA-W4zeA8XwvUvjqdosXUChHipyIQIvR6tJoEtmMKO-apw
2026-02-05 17:28:23.119 17165-17193 okhttp.OkHttpClient     com.runninghub.app                   I  --> END POST
2026-02-05 17:28:23.124 17165-17194 okhttp.OkHttpClient     com.runninghub.app                   I  --> POST https://www.runninghub.cn/api/webapp/list
2026-02-05 17:28:23.124 17165-17194 okhttp.OkHttpClient     com.runninghub.app                   I  Content-Type: application/json; charset=UTF-8
2026-02-05 17:28:23.124 17165-17194 okhttp.OkHttpClient     com.runninghub.app                   I  Content-Length: 52
2026-02-05 17:28:23.124 17165-17194 okhttp.OkHttpClient     com.runninghub.app                   I  User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
